T, CaO, SiO2, CO2, H2O, pH, MassWater, Ca_aq, Si_aq, C_aq, O_aq, H_aq, Ca_s, Si_s, C_s, O_s, H_s, Portlandite, AmorfSi, Calcite, mCSHQ, Ca_ss, Si_ss, H2O_ss, V_s, Gel_water
2.500000e+01,1.590613e+00,5.329425e-01,5.625928e-01,1.217516e-01,1.247261e+01,9.135790e-02,1.854124e-03,2.827337e-06,6.007384e-07,3.713770e-03,3.701579e-03,1.588759e+00,5.329397e-01,5.625922e-01,5.472714e+00,3.385782e+00,1.590629e-01,0.000000e+00,5.625922e-01,1.082786e-01,8.671038e-01,5.329397e-01,1.533828e+00,7.444241e+01,6.559715e-01
2.500000e+01,6.459146e-01,6.452634e-01,2.411088e-01,5.505015e-02,9.791969e+00,3.867523e-02,4.126576e-05,1.525201e-04,1.011892e-06,3.904875e-04,8.031576e-05,6.458733e-01,6.451109e-01,2.411078e-01,3.327898e+00,1.819174e+00,0.000000e+00,4.536693e-02,2.411078e-01,7.511988e-02,4.047655e-01,5.997440e-01,9.095868e-01,4.335106e+01,3.107722e-01
2.500000e+01,2.774540e-01,3.225153e-01,2.400241e-01,1.447834e-01,9.791970e+00,1.433168e-01,1.529313e-04,5.652078e-04,3.750206e-06,1.441673e-03,2.976516e-04,2.773011e-01,3.219501e-01,2.400203e-01,1.485019e+00,1.675541e-01,0.000000e+00,2.667109e-01,2.400203e-01,6.918879e-03,3.728072e-02,5.523914e-02,8.377703e-02,1.965098e+01,2.862350e-02
2.500000e+01,1.747043e+00,6.589084e-01,9.396112e-01,1.291297e-01,1.194439e+01,1.015881e-01,5.433373e-04,1.473881e-05,7.551286e-07,1.107081e-03,1.061511e-03,1.746500e+00,6.588937e-01,9.396104e-01,6.474046e+00,3.061077e+00,0.000000e+00,0.000000e+00,9.396104e-01,1.124105e-01,8.068892e-01,6.588937e-01,1.530538e+00,8.275692e+01,5.776452e-01
2.500000e+01,1.015914e+00,5.640556e-01,3.883115e-01,7.631150e-02,1.177192e+01,5.423969e-02,1.939447e-04,1.136757e-05,4.320923e-07,4.054120e-04,3.717359e-04,1.015720e+00,5.640442e-01,3.883111e-01,4.146246e+00,2.451630e+00,0.000000e+00,0.000000e+00,3.883111e-01,9.115710e-02,6.274090e-01,5.640442e-01,1.225815e+00,5.324063e+01,4.524980e-01
2.500000e+01,1.338658e+00,4.550239e-01,7.503018e-02,1.393409e-01,1.247261e+01,1.064815e-01,2.161059e-03,3.296025e-06,7.001850e-07,4.328224e-03,4.314345e-03,1.336497e+00,4.550206e-01,7.502948e-02,4.227310e+00,3.661425e+00,5.211396e-01,0.000000e+00,7.502948e-02,9.244761e-02,7.403279e-01,4.550206e-01,1.309573e+00,6.132791e+01,5.600644e-01
2.500000e+01,8.129700e-01,3.888029e-01,7.348491e-01,7.428808e-02,9.791971e+00,7.114968e-02,7.592525e-05,2.806100e-04,1.861795e-06,7.167557e-04,1.477739e-04,8.128941e-01,3.885223e-01,7.348472e-01,3.235020e+00,3.507728e-01,0.000000e+00,2.728798e-01,7.348472e-01,1.448460e-02,7.804684e-02,1.156425e-01,1.753864e-01,4.144255e+01,5.992307e-02
2.500000e+01,2.710364e-01,6.935581e-01,2.515867e-01,9.750616e-02,9.791970e+00,9.675170e-02,1.032417e-04,3.815640e-04,2.531923e-06,9.739033e-04,2.009393e-04,2.709332e-01,6.931765e-01,2.515842e-01,2.203935e+00,8.696186e-02,0.000000e+00,6.645070e-01,2.515842e-01,3.590950e-03,1.934899e-02,2.866950e-02,4.348093e-02,3.014644e+01,1.485584e-02
2.500000e+01,1.708793e+00,2.669780e-01,2.572027e-01,1.457423e-01,1.247261e+01,1.137457e-01,2.308489e-03,3.520867e-06,7.479516e-07,4.623363e-03,4.608674e-03,1.706485e+00,2.669745e-01,2.572020e-01,4.538113e+00,3.566552e+00,1.014910e+00,0.000000e+00,2.572020e-01,5.424183e-02,4.343730e-01,2.669745e-01,7.683664e-01,6.730075e+01,3.286069e-01
2.500000e+01,1.368793e+00,6.730805e-01,8.265113e-01,6.421693e-02,1.121432e+01,4.317555e-02,5.400780e-05,2.629053e-05,4.783800e-07,1.579771e-04,9.686287e-05,1.368739e+00,6.730542e-01,8.265108e-01,5.536100e+00,2.336463e+00,0.000000e+00,0.000000e+00,8.265108e-01,9.189278e-02,5.422282e-01,6.730542e-01,1.168231e+00,7.036704e+01,4.309822e-01
2.500000e+01,8.171071e-01,6.008392e-01,6.963020e-01,1.463197e-01,9.791971e+00,1.414772e-01,1.509722e-04,5.579709e-04,3.702232e-06,1.423238e-03,2.938381e-04,8.169561e-01,6.002812e-01,6.962983e-01,3.681257e+00,5.422832e-01,0.000000e+00,4.215017e-01,6.962983e-01,2.239272e-02,1.206578e-01,1.787795e-01,2.711416e-01,4.781656e+01,9.263908e-02
2.500000e+01,4.027179e-01,5.944240e-01,5.515737e-01,1.160110e-01,5.027990e+00,1.230673e-01,4.912484e-03,2.239954e-04,1.537683e-01,3.178122e-01,9.826296e-03,3.978054e-01,5.942000e-01,3.978054e-01,2.381816e+00,0.000000e+00,0.000000e+00,5.942000e-01,3.978054e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.192435e+01,0.000000e+00
2.500000e+01,7.923744e-01,3.931745e-01,1.753530e-01,9.120240e-02,1.241093e+01,7.150061e-02,1.235061e-03,2.802134e-06,4.746419e-07,2.475513e-03,2.463798e-03,7.911393e-01,3.931717e-01,1.753525e-01,3.025659e+00,2.194942e+00,0.000000e+00,0.000000e+00,1.753525e-01,7.792644e-02,6.157868e-01,3.931717e-01,1.097471e+00,4.103494e+01,4.653946e-01
2.500000e+01,1.783126e+00,6.699259e-01,2.548624e-01,6.977697e-02,1.247261e+01,2.718724e-02,5.517695e-04,8.413969e-07,1.787742e-07,1.106587e-03,1.101554e-03,1.782574e+00,6.699251e-01,2.548622e-01,5.997958e+00,4.731619e+00,4.377302e-01,0.000000e+00,2.548622e-01,1.361102e-01,1.089982e+00,6.699251e-01,1.928079e+00,8.473135e+01,8.245807e-01
2.500000e+01,1.187672e+00,3.633733e-01,7.959958e-01,1.303102e-01,1.171902e+01,1.164205e-01,3.696846e-04,2.717270e-05,9.508199e-07,7.796966e-04,7.035299e-04,1.187302e+00,3.633461e-01,7.959948e-01,4.278224e+00,1.544480e+00,0.000000e+00,0.000000e+00,7.959948e-01,5.768704e-02,3.913075e-01,3.633461e-01,7.722399e-01,5.402733e+01,2.842815e-01
2.500000e+01,4.560506e-01,3.218911e-01,2.870844e-01,1.166653e-01,9.791970e+00,1.098623e-01,1.172302e-04,4.332701e-04,2.874788e-06,1.105603e-03,2.281658e-04,4.559334e-01,3.214578e-01,2.870815e-01,2.052455e+00,7.588858e-01,0.000000e+00,7.126885e-02,2.870815e-01,3.133698e-02,1.688518e-01,2.501890e-01,3.794429e-01,2.649051e+01,1.296416e-01
2.500000e+01,3.212707e-01,6.876304e-01,4.582538e-01,9.248402e-02,4.989389e+00,9.894045e-02,4.167348e-03,1.785764e-04,1.411504e-01,2.909954e-01,8.335973e-03,3.171034e-01,6.874518e-01,3.171034e-01,2.326214e+00,0.000000e+00,0.000000e+00,6.874518e-01,3.171034e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.164800e+01,0.000000e+00
2.500000e+01,7.888975e-01,5.164669e-01,4.024029e-01,1.404816e-01,1.098669e+01,1.251936e-01,1.236203e-04,1.086071e-04,1.579654e-06,4.568952e-04,2.218028e-04,7.887739e-01,5.163583e-01,4.024013e-01,3.475658e+00,1.698729e+00,0.000000e+00,0.000000e+00,4.024013e-01,6.799336e-02,3.863726e-01,5.163583e-01,8.493647e-01,4.452372e+01,3.076429e-01
2.500000e+01,1.446083e+00,6.045558e-01,3.253337e-01,7.674284e-02,1.247261e+01,4.299170e-02,8.725229e-04,1.330469e-06,2.826982e-07,1.748703e-03,1.741908e-03,1.445210e+00,6.045545e-01,3.253334e-01,5.181180e+00,3.752387e+00,1.362545e-01,0.000000e+00,3.253334e-01,1.228288e-01,9.836225e-01,6.045545e-01,1.739939e+00,7.142997e+01,7.441190e-01
2.500000e+01,5.560602e-01,3.479513e-01,7.072534e-01,8.050114e-02,4.926064e+00,8.756665e-02,4.018353e-03,1.554586e-04,1.552116e-01,3.187735e-01,8.038172e-03,5.520418e-01,3.477958e-01,5.520418e-01,2.351717e+00,0.000000e+00,0.000000e+00,3.477958e-01,5.520418e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.047519e+01,0.000000e+00
2.500000e+01,8.714350e-01,4.966988e-01,5.393257e-01,5.353503e-02,9.791970e+00,4.010363e-02,4.279122e-05,1.581699e-04,1.049657e-06,4.048725e-04,8.328447e-05,8.713922e-01,4.965406e-01,5.393247e-01,3.689343e+00,1.492441e+00,0.000000e+00,4.513836e-03,5.393247e-01,6.162795e-02,3.320676e-01,4.920268e-01,7.462203e-01,4.723028e+01,2.549559e-01
2.500000e+01,9.570439e-01,2.407017e-01,1.134831e-01,7.843341e-02,1.247261e+01,5.789880e-02,1.175066e-03,1.793442e-06,3.807216e-07,2.354365e-03,2.345902e-03,9.558688e-01,2.406999e-01,1.134827e-01,2.807743e+00,2.287018e+00,4.507624e-01,0.000000e+00,1.134827e-01,4.890356e-02,3.916237e-01,2.406999e-01,6.927468e-01,4.095549e+01,2.962667e-01
