T, CaO, SiO2, CO2, H2O, pH, MassWater, Ca_aq, Si_aq, C_aq, O_aq, H_aq, Ca_s, Si_s, C_s, O_s, H_s, Portlandite, AmorfSi, Calcite, mCSHQ, Ca_ss, Si_ss, H2O_ss, V_s, Gel_water
2.500000e+01,7.422456e-01,6.106430e-01,7.479153e-01,6.795019e-02,5.804441e+00,6.829426e-02,8.656404e-04,1.312434e-04,6.535340e-03,1.506612e-02,1.730618e-03,7.413800e-01,6.105118e-01,7.413800e-01,3.445163e+00,0.000000e+00,0.000000e+00,6.105118e-01,7.413800e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.508697e+01,0.000000e+00
2.500000e+01,2.118622e-01,5.855724e-01,4.364551e-01,5.548504e-02,4.727400e+00,6.575933e-02,3.832300e-03,1.073217e-04,2.284252e-01,4.647327e-01,7.666666e-03,2.080299e-01,5.854651e-01,2.080299e-01,1.795020e+00,0.000000e+00,0.000000e+00,5.854651e-01,2.080299e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.466186e+01,0.000000e+00
2.500000e+01,9.339441e-01,2.966285e-01,9.031440e-01,1.107428e-01,9.791972e+00,1.095332e-01,1.168908e-04,4.319991e-04,2.866867e-06,1.102375e-03,2.275050e-04,9.338272e-01,2.961965e-01,9.031411e-01,3.401460e+00,1.379151e-01,0.000000e+00,2.507288e-01,9.031411e-01,5.694984e-03,3.068608e-02,4.546774e-02,6.895757e-02,4.313942e+01,2.356027e-02
2.500000e+01,6.305346e-01,5.334397e-01,1.521389e-01,1.300171e-01,1.142747e+01,1.120443e-01,1.964712e-04,4.635233e-05,1.082506e-06,4.727504e-04,3.588192e-04,6.303381e-01,5.333933e-01,1.521378e-01,2.999815e+00,1.996829e+00,0.000000e+00,0.000000e+00,1.521378e-01,7.685153e-02,4.782003e-01,5.333933e-01,9.984146e-01,3.869294e+01,3.698643e-01
2.500000e+01,1.498178e+00,3.364091e-01,2.058630e-01,9.060406e-02,1.247261e+01,5.983089e-02,1.214278e-03,1.851897e-06,3.934270e-07,2.432862e-03,2.424187e-03,1.496964e+00,3.364072e-01,2.058626e-01,4.293461e+00,3.423914e+00,7.437596e-01,0.000000e+00,2.058626e-01,6.834865e-02,5.473415e-01,3.364072e-01,9.681975e-01,6.274669e+01,4.140686e-01
2.500000e+01,6.158530e-01,6.799463e-01,2.967490e-01,6.392774e-02,9.791971e+00,5.102656e-02,5.445310e-05,2.012483e-04,1.335369e-06,5.146116e-04,1.059823e-04,6.157985e-01,6.797451e-01,2.967477e-01,3.285753e+00,1.433939e+00,0.000000e+00,2.070051e-01,2.967477e-01,5.921221e-02,3.190509e-01,4.727399e-01,7.169693e-01,4.307777e+01,2.449619e-01
2.500000e+01,1.617417e+00,5.378987e-01,1.077343e-01,6.178281e-02,1.247261e+01,2.249634e-02,4.565668e-04,6.962780e-07,1.479284e-07,9.160009e-04,9.114913e-04,1.616960e+00,5.378980e-01,1.077342e-01,5.090378e+00,4.364307e+00,6.340552e-01,0.000000e+00,1.077342e-01,1.092860e-01,8.751711e-01,5.378980e-01,1.548098e+00,7.379628e+01,6.620745e-01
2.500000e+01,1.042638e+00,2.008757e-01,2.752229e-01,1.418251e-01,1.247261e+01,1.236589e-01,2.509678e-03,3.827822e-06,8.131369e-07,5.026124e-03,5.010328e-03,1.040128e+00,2.008719e-01,2.752221e-01,3.008519e+00,2.032406e+00,4.380836e-01,0.000000e+00,2.752221e-01,4.081161e-02,3.268227e-01,2.008719e-01,5.781197e-01,4.289257e+01,2.472442e-01
2.500000e+01,1.937901e-01,3.656405e-01,8.983767e-01,1.256437e-01,4.647269e+00,1.576592e-01,9.913852e-03,2.435022e-04,7.145005e-01,1.449321e+00,1.983372e-02,1.838762e-01,3.653970e-01,1.838762e-01,1.282423e+00,0.000000e+00,0.000000e+00,3.653970e-01,1.838762e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.738780e+01,0.000000e+00
2.500000e+01,5.889156e-01,5.364286e-01,2.733331e-01,1.496689e-01,9.791972e+00,1.369395e-01,1.461365e-04,5.400545e-04,3.583963e-06,1.377626e-03,2.844257e-04,5.887695e-01,5.358885e-01,2.733295e-01,2.916060e+00,1.417710e+00,0.000000e+00,6.849901e-02,2.733295e-01,5.854206e-02,3.154399e-01,4.673895e-01,7.088548e-01,3.790061e+01,2.421895e-01
2.500000e+01,7.092703e-01,2.144403e-01,7.177807e-01,8.459698e-02,5.748190e+00,8.509863e-02,1.171585e-03,1.634001e-04,9.681985e-03,2.203555e-02,2.342396e-03,7.080987e-01,2.142769e-01,7.080987e-01,2.552850e+00,0.000000e+00,0.000000e+00,2.142769e-01,7.080987e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.236695e+01,0.000000e+00
2.500000e+01,1.431091e+00,6.290190e-01,7.909540e-01,1.031257e-01,1.162939e+01,7.998253e-02,2.091118e-04,2.233633e-05,6.845450e-07,4.535730e-04,3.928388e-04,1.430882e+00,6.289967e-01,7.909533e-01,5.556151e+00,2.570739e+00,0.000000e+00,0.000000e+00,7.909533e-01,9.683467e-02,6.399286e-01,6.289967e-01,1.285369e+00,7.062368e+01,4.729305e-01
2.500000e+01,9.421312e-01,3.414945e-01,2.826489e-01,7.259489e-02,1.247261e+01,5.309764e-02,1.077625e-03,1.643254e-06,3.491518e-07,2.159297e-03,2.151374e-03,9.410536e-01,3.414929e-01,2.826486e-01,3.274960e+00,2.171247e+00,1.027891e-01,0.000000e+00,2.826486e-01,6.938191e-02,5.556159e-01,3.414929e-01,9.828342e-01,4.485413e+01,4.203282e-01
2.500000e+01,4.050211e-01,4.341567e-01,7.609650e-01,9.911109e-02,4.757571e+00,1.154395e-01,6.513389e-03,1.916182e-04,3.624573e-01,7.383283e-01,1.303012e-02,3.985077e-01,4.339651e-01,3.985077e-01,2.063453e+00,0.000000e+00,0.000000e+00,4.339651e-01,3.985077e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.730347e+01,0.000000e+00
2.500000e+01,1.726658e+00,3.130484e-01,1.268109e-01,9.462574e-02,1.247261e+01,5.883728e-02,1.194112e-03,1.820532e-06,3.868941e-07,2.392492e-03,2.383930e-03,1.725464e+00,3.130466e-01,1.268105e-01,4.595463e+00,3.980569e+00,1.089320e+00,0.000000e+00,1.268105e-01,6.360241e-02,5.093332e-01,3.130466e-01,9.009643e-01,6.912945e+01,3.853150e-01
2.500000e+01,2.182736e-01,5.630301e-01,6.750355e-01,1.279985e-01,4.759191e+00,1.489550e-01,8.389392e-03,2.474631e-04,4.651513e-01,9.475804e-01,1.678308e-02,2.098842e-01,5.627826e-01,2.098842e-01,1.755218e+00,0.000000e+00,0.000000e+00,5.627826e-01,2.098842e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.407256e+01,0.000000e+00
2.500000e+01,3.781480e-01,6.499428e-01,9.193779e-02,1.475332e-01,9.791972e+00,1.359926e-01,1.451309e-04,5.363599e-04,3.559091e-06,1.368203e-03,2.824689e-04,3.780029e-01,6.494064e-01,9.193423e-02,2.503536e+00,1.285704e+00,0.000000e+00,2.255366e-01,9.193423e-02,5.309108e-02,2.860686e-01,4.238699e-01,6.428518e-01,3.335098e+01,2.196387e-01
2.500000e+01,1.325269e+00,2.361335e-01,4.255160e-01,1.123628e-01,1.247261e+01,9.096867e-02,1.846224e-03,2.815805e-06,5.981780e-07,3.697956e-03,3.685808e-03,1.323423e+00,2.361307e-01,4.255154e-01,3.840029e+00,2.386629e+00,5.137179e-01,0.000000e+00,4.255154e-01,4.797523e-02,3.841895e-01,2.361307e-01,6.795964e-01,5.414641e+01,2.906427e-01
2.500000e+01,7.907725e-01,6.159464e-01,9.358323e-01,9.454534e-02,4.979947e+00,1.013733e-01,4.325632e-03,1.825590e-04,1.493854e-01,3.077899e-01,8.652629e-03,7.864469e-01,6.157638e-01,7.864469e-01,3.590868e+00,0.000000e+00,0.000000e+00,6.157638e-01,7.864469e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.690378e+01,0.000000e+00
2.500000e+01,4.081941e-01,3.517498e-01,5.005856e-01,6.437859e-02,4.997859e+00,6.873861e-02,2.861594e-03,1.243066e-04,9.525309e-02,1.964804e-01,5.724043e-03,4.053325e-01,3.516255e-01,4.053325e-01,1.919249e+00,0.000000e+00,0.000000e+00,3.516255e-01,4.053325e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.516769e+01,0.000000e+00
