T, CaO, SiO2, CO2, H2O, pH, MassWater, Ca_aq, Si_aq, C_aq, O_aq, H_aq, Ca_s, Si_s, C_s, O_s, H_s, Portlandite, AmorfSi, Calcite, mCSHQ, Ca_ss, Si_ss, H2O_ss, V_s, Gel_water
2.500000e+01,1.339403e-01,3.153729e-01,7.172661e-01,7.181046e-02,4.561156e+00,9.814691e-02,6.555116e-03,1.397743e-04,5.898809e-01,1.193156e+00,1.311468e-02,1.273852e-01,3.152331e-01,1.273852e-01,1.012622e+00,0.000000e+00,0.000000e+00,3.152331e-01,1.273852e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.384661e+01,0.000000e+00
2.500000e+01,7.899062e-01,4.045606e-01,2.456837e-01,9.181914e-02,1.213030e+01,7.376751e-02,6.220914e-04,6.851856e-06,5.185421e-07,1.254289e-03,1.230913e-03,7.892841e-01,4.045537e-01,2.456832e-01,3.093737e+00,2.007958e+00,0.000000e+00,0.000000e+00,2.456832e-01,7.287803e-02,5.436009e-01,4.045537e-01,1.003979e+00,4.050180e+01,3.947891e-01
2.500000e+01,3.717297e-01,3.095253e-01,2.616066e-01,9.412326e-02,9.791970e+00,8.969559e-02,9.571008e-05,3.537049e-04,2.347386e-06,9.029548e-04,1.862801e-04,3.716340e-01,3.091716e-01,2.616043e-01,1.760444e+00,4.945164e-01,0.000000e+00,1.461398e-01,2.616043e-01,2.042026e-02,1.100297e-01,1.630318e-01,2.472582e-01,2.290616e+01,8.447900e-02
2.500000e+01,7.637027e-01,4.107436e-01,1.924563e-02,1.064211e-01,1.247261e+01,8.387867e-02,1.702332e-03,2.595817e-06,5.515573e-07,3.409897e-03,3.398541e-03,7.620004e-01,4.107410e-01,1.924508e-02,2.878578e+00,2.513210e+00,7.447124e-02,0.000000e+00,1.924508e-02,8.345122e-02,6.682840e-01,4.107410e-01,1.182134e+00,4.047896e+01,5.055627e-01
2.500000e+01,6.609660e-01,6.025089e-01,1.537589e-01,1.365713e-01,1.131071e+01,1.171511e-01,1.685973e-04,6.023143e-05,1.220751e-06,4.456179e-04,3.042325e-04,6.607974e-01,6.024487e-01,1.537577e-01,3.251922e+00,2.157423e+00,0.000000e+00,0.000000e+00,1.537577e-01,8.406449e-02,5.070397e-01,6.024487e-01,1.078712e+00,4.200793e+01,3.995996e-01
2.500000e+01,9.528190e-01,4.077334e-01,6.950625e-01,1.152250e-01,9.791971e+00,1.048257e-01,1.118574e-04,4.134177e-04,2.742975e-06,1.055033e-03,2.177087e-04,9.527071e-01,4.073200e-01,6.950598e-01,3.736450e+00,1.157967e+00,0.000000e+00,2.556207e-02,6.950598e-01,4.781642e-02,2.576474e-01,3.817579e-01,5.789837e-01,4.750126e+01,1.978174e-01
2.500000e+01,1.626824e+00,6.661665e-01,5.556037e-01,1.343854e-01,1.245091e+01,1.003285e-01,1.923681e-03,3.381643e-06,6.618638e-07,3.853527e-03,3.839517e-03,1.624900e+00,6.661631e-01,5.556030e-01,5.964882e+00,3.792899e+00,0.000000e+00,0.000000e+00,5.556030e-01,1.341545e-01,1.069297e+00,6.661631e-01,1.896450e+00,8.032203e+01,8.094177e-01
2.500000e+01,1.456046e+00,6.941593e-01,9.370567e-01,1.490300e-01,1.098303e+01,1.284905e-01,1.265305e-04,1.120337e-04,1.624227e-06,4.693755e-04,2.270583e-04,1.455919e+00,6.940473e-01,9.370551e-01,5.859011e+00,2.281773e+00,0.000000e+00,0.000000e+00,9.370551e-01,9.135132e-02,5.188644e-01,6.940473e-01,1.140886e+00,7.446354e+01,4.130965e-01
2.500000e+01,1.214405e+00,4.365894e-01,5.590615e-01,9.009095e-02,1.233658e+01,6.894198e-02,9.820640e-04,3.501660e-06,4.635032e-07,1.970278e-03,1.956568e-03,1.213423e+00,4.365859e-01,5.590610e-01,4.381733e+00,2.354032e+00,0.000000e+00,0.000000e+00,5.590610e-01,8.413117e-02,6.543619e-01,4.365859e-01,1.177016e+00,5.762485e+01,4.902486e-01
2.500000e+01,9.824909e-01,3.142942e-01,7.803586e-01,1.378689e-01,9.791971e+00,1.297299e-01,1.384324e-04,5.116439e-04,3.394636e-06,1.305225e-03,2.694318e-04,9.823525e-01,3.137826e-01,7.803552e-01,3.624555e+00,9.078542e-01,0.000000e+00,1.448183e-02,7.803552e-01,3.748839e-02,2.019973e-01,2.993007e-01,4.539271e-01,4.577523e+01,1.550901e-01
2.500000e+01,1.081617e+00,4.842946e-01,6.655737e-01,7.262401e-02,1.135052e+01,5.678352e-02,8.712033e-05,2.713994e-05,5.765706e-07,2.234381e-04,1.577696e-04,1.081530e+00,4.842675e-01,6.655731e-01,4.260856e+00,1.759290e+00,0.000000e+00,0.000000e+00,6.655731e-01,6.826971e-02,4.159568e-01,4.842675e-01,8.796448e-01,5.404401e+01,3.260642e-01
2.500000e+01,1.237134e+00,3.649861e-01,6.616189e-01,1.177620e-01,1.241705e+01,9.945181e-02,1.745493e-03,3.810440e-06,6.595413e-07,3.497608e-03,3.482351e-03,1.235389e+00,3.649823e-01,6.616182e-01,4.310409e+00,2.043640e+00,0.000000e+00,0.000000e+00,6.616182e-01,7.251364e-02,5.737703e-01,3.649823e-01,1.021820e+00,5.661922e+01,4.338254e-01
2.500000e+01,7.792067e-01,6.549668e-01,6.908864e-01,1.261231e-01,9.791971e+00,1.225893e-01,1.308181e-04,4.834792e-04,3.208093e-06,1.233499e-03,2.546120e-04,7.790759e-01,6.544833e-01,6.908832e-01,3.667995e+00,3.963722e-01,0.000000e+00,5.238076e-01,6.908832e-01,1.636756e-02,8.819269e-02,1.306757e-01,1.981861e-01,4.792613e+01,6.771289e-02
2.500000e+01,7.200664e-01,3.808097e-01,8.348874e-01,5.099284e-02,4.878198e+00,5.632736e-02,2.751079e-03,9.849103e-05,1.175721e-01,2.408459e-01,5.503280e-03,7.173153e-01,3.807112e-01,7.173153e-01,2.913368e+00,0.000000e+00,0.000000e+00,3.807112e-01,7.173153e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.753395e+01,0.000000e+00
2.500000e+01,7.352611e-01,5.676585e-01,5.407196e-01,1.487176e-01,9.791970e+00,1.408897e-01,1.503323e-04,5.556326e-04,3.686199e-06,1.417267e-03,2.925935e-04,7.351108e-01,5.671029e-01,5.407159e-01,3.387591e+00,8.736861e-01,0.000000e+00,2.790666e-01,5.407159e-01,3.607747e-02,1.943949e-01,2.880362e-01,4.368430e-01,4.397509e+01,1.492531e-01
2.500000e+01,1.273686e+00,6.982173e-01,4.821503e-01,7.757343e-02,1.180361e+01,4.989277e-02,1.917672e-04,9.794337e-06,3.918910e-07,3.986623e-04,3.690454e-04,1.273494e+00,6.982075e-01,4.821499e-01,5.171350e+00,3.074281e+00,0.000000e+00,0.000000e+00,4.821499e-01,1.140199e-01,7.913443e-01,6.982075e-01,1.537141e+00,6.645892e+01,5.688995e-01
