T, CaO, SiO2, Al2O3, SO3, K2O, H2O, pH, MassWater, Ca_aq, Si_aq, Al_aq, S_aq, K_aq, O_aq, H_aq, Ca_s, Si_s, Al_s, S_s, K_s, O_s,  H_s, Portlandite, AmorfSi, Gibbsite, Katoite, Monosulfate, Gypsum, Ettringite, Straetlingite, Chabazite, mCSHQ, Ca_ss, Si_ss, K_ss, H2O_ss, V_s, Gel_water
2.500000e+01,1.105512e+00,5.749901e-01,3.815210e-02,3.614258e-02,8.701556e-03,1.130696e-01,1.293274e+01,7.388443e-02,2.957766e-04,2.501167e-06,2.894825e-05,5.601497e-07,7.833472e-03,8.459797e-03,8.390358e-03,1.105216e+00,5.749876e-01,7.627525e-02,3.614202e-02,9.569640e-03,4.679416e+00,4.393202e+00,2.472970e-02,0.000000e+00,0.000000e+00,1.995606e-03,3.614202e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.169423e-01,9.299316e-01,5.749876e-01,9.569640e-03,1.653909e+00,6.524601e+01,7.037909e-01
2.500000e+01,1.218638e+00,5.626310e-01,6.527014e-02,4.049532e-02,1.165968e-02,7.500878e-02,1.317516e+01,3.190453e-02,5.980903e-05,1.305805e-06,2.262788e-05,9.501963e-07,6.463839e-03,6.611443e-03,6.556621e-03,1.218578e+00,5.626297e-01,1.305177e-01,4.049437e-02,1.685552e-02,5.079331e+00,4.819612e+00,7.678633e-02,0.000000e+00,0.000000e+00,2.476446e-02,4.049437e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.145183e-01,9.055210e-01,5.626297e-01,1.685552e-02,1.617512e+00,7.063364e+01,6.854273e-01
2.500000e+01,9.486198e-01,3.340746e-01,3.754027e-02,2.400257e-02,1.150126e-02,1.402115e-01,1.303859e+01,1.112461e-01,3.184643e-04,4.010547e-06,5.654102e-05,1.521897e-06,1.578869e-02,1.649160e-02,1.635879e-02,9.483013e-01,3.340706e-01,7.502400e-02,2.400105e-02,7.213831e-03,3.454858e+00,3.300539e+00,2.724448e-01,0.000000e+00,0.000000e+00,1.351095e-02,2.400105e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.796389e-02,5.393195e-01,3.340706e-01,7.213831e-03,9.607444e-01,4.927074e+01,4.081994e-01
2.500000e+01,1.002972e+00,5.278706e-01,6.874757e-02,2.967586e-02,9.049022e-03,8.396185e-02,1.303937e+01,4.604273e-02,1.088842e-04,1.945465e-06,3.127418e-05,7.643642e-07,6.592725e-03,6.847461e-03,6.774237e-03,1.002863e+00,5.278687e-01,1.374639e-01,2.967510e-02,1.150532e-02,4.482078e+00,4.245007e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.254873e-02,2.967510e-02,0.000000e+00,0.000000e+00,2.650811e-02,0.000000e+00,1.007394e-01,7.935003e-01,5.013605e-01,1.150532e-02,1.419695e+00,6.214010e+01,6.003310e-01
2.500000e+01,1.204590e+00,4.698147e-01,5.861308e-02,4.968491e-02,1.185898e-02,7.948171e-02,1.321019e+01,3.803013e-02,6.403112e-05,1.624574e-06,2.935634e-05,1.384962e-06,8.421167e-03,8.585176e-03,8.514245e-03,1.204526e+00,4.698131e-01,1.171968e-01,4.968353e-02,1.529679e-02,4.799867e+00,4.646442e+00,2.236324e-01,0.000000e+00,0.000000e+00,8.914877e-03,4.968353e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.564074e-02,7.554149e-01,4.698131e-01,1.529679e-02,1.350530e+00,6.774539e+01,5.718138e-01
2.500000e+01,1.338672e+00,5.000716e-01,4.328586e-02,4.740874e-02,8.589319e-03,1.088982e-01,1.297812e+01,6.542709e-02,2.267739e-04,2.267779e-06,9.693248e-06,5.571901e-06,7.869107e-03,8.347958e-03,8.297679e-03,1.338445e+00,5.000693e-01,8.656203e-02,4.740317e-02,9.309531e-03,5.049643e+00,4.868703e+00,3.530146e-01,0.000000e+00,0.000000e+00,0.000000e+00,4.121994e-02,0.000000e+00,2.061077e-03,0.000000e+00,0.000000e+00,1.017171e-01,8.081844e-01,5.000693e-01,9.309531e-03,1.438303e+00,7.213877e+01,6.116706e-01
2.500000e+01,1.186749e+00,3.695281e-01,4.937091e-02,2.703444e-02,9.568275e-03,1.487857e-01,1.295135e+01,1.135776e-01,4.284004e-04,3.880659e-06,4.658574e-05,9.541021e-07,1.269394e-02,1.360544e-02,1.349514e-02,1.186321e+00,3.695242e-01,9.869523e-02,2.703349e-02,6.442606e-03,4.146746e+00,3.978025e+00,4.137823e-01,0.000000e+00,0.000000e+00,2.231413e-02,2.703349e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.515820e-02,5.974620e-01,3.695242e-01,6.442606e-03,1.062877e+00,5.949368e+01,4.521774e-01
2.500000e+01,1.316140e+00,5.817708e-01,6.371637e-02,2.798027e-02,9.778285e-03,9.424554e-02,1.303454e+01,5.069087e-02,1.469669e-04,1.822161e-06,2.550902e-05,6.778130e-07,7.116755e-03,7.441551e-03,7.380530e-03,1.315993e+00,5.817690e-01,1.274072e-01,2.797959e-02,1.243981e-02,5.197596e+00,4.873590e+00,1.576294e-01,0.000000e+00,0.000000e+00,3.572402e-02,2.797959e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.183546e-01,9.392732e-01,5.817690e-01,1.243981e-02,1.673107e+00,7.257363e+01,7.109138e-01
2.500000e+01,9.078180e-01,3.502125e-01,5.938510e-02,3.481743e-02,6.482186e-03,1.250230e-01,1.286333e+01,9.355055e-02,4.688560e-04,3.076313e-06,3.089697e-05,4.866474e-07,8.082638e-03,9.057514e-03,8.982763e-03,9.073491e-01,3.502094e-01,1.187393e-01,3.481694e-02,4.881734e-03,3.662447e+00,3.539357e+00,1.274692e-01,0.000000e+00,0.000000e+00,2.455271e-02,3.481694e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.121493e-02,5.669540e-01,3.502094e-01,4.881734e-03,1.007456e+00,5.120321e+01,4.290602e-01
2.500000e+01,1.167112e+00,5.065144e-01,6.368057e-02,4.657720e-02,8.580980e-03,1.141565e-01,1.295584e+01,7.273195e-02,2.704326e-04,2.490916e-06,3.016346e-05,6.263343e-07,8.231978e-03,8.808960e-03,8.736865e-03,1.166842e+00,5.065119e-01,1.273310e-01,4.657657e-02,8.929982e-03,4.836929e+00,4.643744e+00,1.103776e-01,0.000000e+00,0.000000e+00,1.708891e-02,4.657657e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.030216e-01,8.188909e-01,5.065119e-01,8.929982e-03,1.456889e+00,6.758288e+01,6.197637e-01
