T, CaO, SiO2, Al2O3, SO3, K2O, H2O, pH, MassWater, Ca_aq, Si_aq, Al_aq, S_aq, K_aq, O_aq, H_aq, Ca_s, Si_s, Al_s, S_s, K_s, O_s,  H_s, Portlandite, AmorfSi, Gibbsite, Katoite, Monosulfate, Gypsum, Ettringite, Straetlingite, Chabazite, mCSHQ, Ca_ss, Si_ss, K_ss, H2O_ss, V_s, Gel_water
2.500000e+01,1.250423e+00,5.445867e-01,5.869364e-02,2.231043e-02,8.325522e-03,5.368504e-02,1.312204e+01,1.288402e-02,2.844888e-05,4.983557e-07,8.030975e-06,2.831186e-07,2.277272e-03,2.345320e-03,2.324685e-03,1.250395e+00,5.445862e-01,1.173792e-01,2.231015e-02,1.437377e-02,4.860621e+00,4.541736e+00,1.743865e-01,0.000000e+00,0.000000e+00,3.637948e-02,2.231015e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.108227e-01,8.776290e-01,5.445862e-01,1.437377e-02,1.565862e+00,6.795170e+01,6.642955e-01
2.500000e+01,9.222180e-01,4.372925e-01,6.258354e-02,3.063941e-02,8.598783e-03,7.934765e-02,1.306643e+01,4.589847e-02,1.175370e-04,1.725793e-06,2.592354e-05,7.532210e-07,7.020176e-03,7.286583e-03,7.224723e-03,9.221005e-01,4.372908e-01,1.251412e-01,3.063866e-02,1.017739e-02,3.956911e+00,3.751025e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.193192e-02,3.063866e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.882695e-02,7.037501e-01,4.372908e-01,1.017739e-02,1.254980e+00,5.448683e+01,5.326989e-01
2.500000e+01,1.302696e+00,3.455844e-01,4.052803e-02,3.472022e-02,8.578313e-03,1.402628e-01,1.294338e+01,1.029482e-01,3.983274e-04,3.503229e-06,4.140552e-05,8.275680e-07,1.124996e-02,1.209546e-02,1.199712e-02,1.302298e+00,3.455809e-01,8.101465e-02,3.471939e-02,5.906670e-03,4.324150e+00,4.204114e+00,5.872370e-01,0.000000e+00,0.000000e+00,5.787935e-03,3.471939e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.028689e-02,5.588193e-01,3.455809e-01,5.906670e-03,9.940209e-01,6.313252e+01,4.229289e-01
2.500000e+01,1.229657e+00,4.287201e-01,3.509912e-02,4.477087e-02,9.599742e-03,6.140272e-02,1.321828e+01,2.198615e-02,3.617702e-05,9.479126e-07,5.842307e-06,7.361483e-06,4.970625e-03,5.066608e-03,5.020749e-03,1.229621e+00,4.287192e-01,7.019240e-02,4.476351e-02,1.422886e-02,4.534864e+00,4.402222e+00,3.903887e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.026254e-02,0.000000e+00,4.833655e-03,0.000000e+00,0.000000e+00,8.727837e-02,6.891800e-01,4.287192e-01,1.422886e-02,1.232370e+00,6.517786e+01,5.216784e-01
2.500000e+01,9.038662e-01,3.656267e-01,4.022871e-02,3.011979e-02,8.540244e-03,5.311747e-02,1.321349e+01,2.276094e-02,3.793717e-05,9.764595e-07,1.771009e-05,8.447820e-07,5.082247e-03,5.180615e-03,5.137005e-03,9.038283e-01,3.656257e-01,8.043971e-02,3.011895e-02,1.199824e-02,3.550601e+00,3.397011e+00,1.652137e-01,0.000000e+00,0.000000e+00,1.010091e-02,3.011895e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.443223e-02,5.878360e-01,3.656257e-01,1.199824e-02,1.051021e+00,5.006883e+01,4.449649e-01
2.500000e+01,1.372561e+00,3.284105e-01,5.219776e-02,2.013793e-02,6.346176e-03,1.049636e-01,1.293389e+01,6.778836e-02,2.703695e-04,2.296083e-06,2.663503e-05,5.171952e-07,7.210807e-03,7.783697e-03,7.719656e-03,1.372291e+00,3.284082e-01,1.043689e-01,2.013741e-02,5.481545e-03,4.332132e+00,4.166637e+00,6.644721e-01,0.000000e+00,0.000000e+00,3.204703e-02,2.013741e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.679259e-02,5.311278e-01,3.284082e-01,5.481545e-03,9.446403e-01,6.322538e+01,4.019685e-01
2.500000e+01,1.154048e+00,3.594302e-01,4.323588e-02,3.719914e-02,6.388097e-03,1.340044e-01,1.284404e+01,9.846275e-02,5.256976e-04,3.216224e-06,3.101266e-05,4.622140e-07,8.013663e-03,9.102430e-03,9.027127e-03,1.153522e+00,3.594270e-01,8.644075e-02,3.719868e-02,4.762531e-03,4.111566e+00,3.991102e+00,4.046404e-01,0.000000e+00,0.000000e+00,6.021696e-03,3.719868e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.308631e-02,5.820221e-01,3.594270e-01,4.762531e-03,1.033999e+00,5.922039e+01,4.404572e-01
2.500000e+01,1.065382e+00,4.537630e-01,3.097012e-02,3.556544e-02,6.911033e-03,1.283862e-01,1.285040e+01,9.307219e-02,4.867422e-04,3.046456e-06,1.007607e-05,3.943557e-06,7.713166e-03,8.709870e-03,8.663015e-03,1.064895e+00,4.537600e-01,6.193016e-02,3.556150e-02,6.108900e-03,4.157013e+00,3.963927e+00,2.017192e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.866687e-02,0.000000e+00,2.298207e-03,0.000000e+00,0.000000e+00,9.226927e-02,7.347193e-01,4.537600e-01,6.108900e-03,1.305366e+00,5.896298e+01,5.560165e-01
2.500000e+01,1.148642e+00,3.973073e-01,6.338526e-02,4.570974e-02,1.131425e-02,1.102556e-01,1.311208e+01,7.192860e-02,1.637948e-04,2.755823e-06,4.375891e-05,1.493220e-06,1.238909e-02,1.276848e-02,1.266502e-02,1.148478e+00,3.973045e-01,1.267268e-01,4.570825e-02,1.023941e-02,4.435933e+00,4.321022e+00,2.722568e-01,0.000000e+00,0.000000e+00,1.765513e-02,4.570825e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.084810e-02,6.404230e-01,3.973045e-01,1.023941e-02,1.142408e+00,6.280067e+01,4.847464e-01
2.500000e+01,1.000418e+00,4.501695e-01,6.929361e-02,4.191667e-02,9.980792e-03,7.195843e-02,1.316281e+01,3.497569e-02,6.810378e-05,1.411577e-06,2.407407e-05,9.704482e-07,6.866003e-03,7.031799e-03,6.973696e-03,1.000350e+00,4.501681e-01,1.385631e-01,4.191570e-02,1.309558e-02,4.311918e+00,4.142185e+00,2.583804e-02,0.000000e+00,0.000000e+00,2.736587e-02,4.191570e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.162310e-02,7.247514e-01,4.501681e-01,1.309558e-02,1.294240e+00,5.962727e+01,5.485918e-01
