T, CaO, SiO2, Al2O3, CO2, H2O, pH, MassWater, Ca_aq, Si_aq, Al_aq, C_aq, O_aq, H_aq, Ca_s, Si_s, Al_s, C_s, O_s,  H_s, Portlandite, AmorfSi, Gibbsite, Katoite, Straetlingite, Calcite, Hemicarbonate, Monocarbonate, Chabazite, mCSHQ, Ca_ss, Si_ss, H2O_ss, V_s, Gel_water
2.500000e+01,1.363173e+00,4.013614e-01,4.036521e-02,6.084119e-01,5.260009e-02,1.242290e+01,2.432396e-02,4.336179e-04,9.118390e-07,2.498597e-07,1.611569e-07,8.705945e-04,8.649117e-04,1.362739e+00,4.013605e-01,8.073017e-02,6.084117e-01,5.074297e+00,3.141836e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.680467e-01,0.000000e+00,4.036509e-02,0.000000e+00,7.992696e-02,6.332324e-01,4.013605e-01,1.126902e+00,6.705405e+01,4.789541e-01
2.500000e+01,9.619141e-01,4.702024e-01,3.176568e-02,7.246975e-01,1.193979e-01,9.791886e+00,1.076835e-01,1.149541e-04,4.246396e-04,1.363981e-07,2.817336e-06,1.083874e-03,2.236026e-04,9.617991e-01,4.697778e-01,6.353122e-02,7.246947e-01,4.098071e+00,1.304060e+00,0.000000e+00,3.846326e-02,0.000000e+00,0.000000e+00,0.000000e+00,7.246947e-01,0.000000e+00,0.000000e+00,3.176561e-02,3.810855e-02,2.053389e-01,3.042521e-01,4.614363e-01,5.266669e+01,1.576557e-01
2.500000e+01,1.115512e+00,5.362010e-01,4.027732e-02,1.706912e-01,7.710161e-02,1.237787e+01,4.261582e-02,6.758482e-04,1.879844e-06,5.957139e-07,2.844327e-07,1.356543e-03,1.346945e-03,1.114836e+00,5.361991e-01,8.055404e-02,1.706909e-01,4.565811e+00,3.832728e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.304139e-01,0.000000e+00,4.027702e-02,0.000000e+00,1.049287e-01,8.233142e-01,5.361991e-01,1.473317e+00,6.171071e+01,6.202486e-01
2.500000e+01,1.221451e+00,3.847135e-01,3.690324e-02,2.988220e-02,6.389817e-02,1.247248e+01,2.835898e-02,5.757902e-04,8.776261e-07,1.041481e-06,7.416634e-09,1.155536e-03,1.148827e-03,1.220875e+00,3.847126e-01,7.380544e-02,2.988219e-02,4.135296e+00,3.949046e+00,4.473290e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.404105e-02,2.286167e-02,0.000000e+00,7.816296e-02,6.259353e-01,3.847126e-01,1.107223e+00,5.971446e+01,4.735255e-01
2.500000e+01,1.007978e+00,3.364325e-01,6.369968e-02,6.933850e-01,7.525786e-02,1.133673e+01,5.951333e-02,9.429279e-05,2.835540e-05,1.043534e-05,5.974323e-07,2.503444e-04,1.609859e-04,1.007884e+00,3.364041e-01,1.273889e-01,6.933844e-01,4.132918e+00,1.748749e+00,0.000000e+00,0.000000e+00,8.132606e-02,0.000000e+00,2.303143e-02,6.933844e-01,0.000000e+00,0.000000e+00,0.000000e+00,4.411710e-02,2.684364e-01,3.133727e-01,5.681337e-01,5.222785e+01,2.105847e-01
2.500000e+01,1.259808e+00,3.376441e-01,3.340527e-02,4.999666e-01,7.810681e-02,1.247258e+01,5.207240e-02,1.056970e-03,1.611499e-06,3.814616e-07,3.424056e-07,2.118328e-03,2.109757e-03,1.258751e+00,3.376425e-01,6.681016e-02,4.999663e-01,4.482611e+00,2.896854e+00,1.092183e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.665612e-01,0.000000e+00,3.340508e-02,0.000000e+00,6.859962e-02,5.493513e-01,3.376425e-01,9.717526e-01,6.026032e+01,4.155890e-01
2.500000e+01,1.266018e+00,4.764111e-01,4.396294e-02,7.345025e-01,1.492877e-01,1.163750e+01,1.269729e-01,3.465270e-04,3.453090e-05,1.691039e-05,1.074869e-06,7.630804e-04,6.359525e-04,1.265671e+00,4.763766e-01,8.790897e-02,7.345014e-01,5.059196e+00,2.479810e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.395448e-02,7.345014e-01,0.000000e+00,0.000000e+00,0.000000e+00,6.684114e-02,4.432611e-01,4.324221e-01,8.882692e-01,6.520337e+01,3.267646e-01
2.500000e+01,1.054182e+00,4.227543e-01,3.766262e-02,2.020870e-01,1.319301e-01,1.247258e+01,1.017769e-01,2.065875e-03,3.149722e-06,7.455743e-07,6.692412e-07,4.138420e-03,4.123576e-03,1.052116e+00,4.227512e-01,7.532449e-02,2.020863e-01,4.094981e+00,3.360405e+00,4.921828e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.644241e-01,0.000000e+00,3.766225e-02,0.000000e+00,8.589134e-02,6.878248e-01,4.227512e-01,1.216700e+00,5.596290e+01,5.203454e-01
2.500000e+01,9.277866e-01,4.381606e-01,3.543140e-02,4.977492e-01,5.043198e-02,1.141127e+01,3.180059e-02,5.671301e-05,1.326122e-05,5.167177e-06,3.055934e-07,1.429154e-04,9.863604e-05,9.277299e-01,4.381473e-01,7.085763e-02,4.977489e-01,3.940245e+00,2.068872e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.542882e-02,4.977489e-01,0.000000e+00,0.000000e+00,0.000000e+00,5.786535e-02,3.591234e-01,4.027185e-01,7.510053e-01,5.095154e+01,2.782643e-01
2.500000e+01,1.046510e+00,5.480370e-01,4.286340e-02,1.775713e-01,5.364389e-02,1.213999e+01,2.056634e-02,1.785312e-04,1.859417e-06,1.500570e-06,1.441355e-07,3.627592e-04,3.519399e-04,1.046331e+00,5.480351e-01,8.572530e-02,1.775712e-01,4.462781e+00,3.673299e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.347085e-01,0.000000e+00,4.286265e-02,0.000000e+00,9.902902e-02,7.401724e-01,5.480351e-01,1.365160e+00,5.893906e+01,5.382458e-01
2.500000e+01,1.335648e+00,4.212472e-01,4.298450e-02,3.205326e-01,5.561092e-02,1.247258e+01,2.166704e-02,4.397988e-04,6.705346e-07,1.587243e-07,1.424730e-07,8.825917e-04,8.778574e-04,1.335208e+00,4.212465e-01,8.596884e-02,3.205325e-01,4.833263e+00,3.771087e+00,2.003458e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.775480e-01,0.000000e+00,4.298442e-02,0.000000e+00,8.558565e-02,6.853767e-01,4.212465e-01,1.212369e+00,6.639482e+01,5.184934e-01
2.500000e+01,1.188990e+00,3.042527e-01,4.806713e-02,8.099549e-02,7.098059e-02,1.247258e+01,3.729128e-02,7.569409e-04,1.154059e-06,2.731805e-07,2.452113e-07,1.517593e-03,1.510887e-03,1.188233e+00,3.042515e-01,9.613399e-02,8.099524e-02,3.975330e+00,3.744804e+00,4.680133e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.292825e-02,0.000000e+00,4.806699e-02,0.000000e+00,6.181550e-02,4.950235e-01,3.042515e-01,8.756517e-01,5.691431e+01,3.744896e-01
2.500000e+01,1.189179e+00,5.527093e-01,4.777963e-02,1.363537e-01,8.329406e-02,1.247258e+01,4.505214e-02,9.144709e-04,1.394235e-06,3.300340e-07,2.962434e-07,1.833009e-03,1.825323e-03,1.188265e+00,5.527079e-01,9.555893e-02,1.363534e-01,4.835327e+00,4.251203e+00,9.305777e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.857394e-02,0.000000e+00,4.777946e-02,0.000000e+00,1.122950e-01,8.992670e-01,5.527079e-01,1.590722e+00,6.629573e+01,6.803032e-01
2.500000e+01,1.333468e+00,4.655723e-01,3.930689e-02,6.314987e-01,8.825189e-02,1.206972e+01,6.112583e-02,4.475388e-04,6.596014e-06,7.304581e-06,4.362383e-07,9.122775e-04,8.754345e-04,1.333020e+00,4.655657e-01,7.860648e-02,6.314983e-01,5.152220e+00,3.014324e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.036249e-02,6.025575e-01,0.000000e+00,2.894075e-02,0.000000e+00,8.058251e-02,5.939750e-01,4.552032e-01,1.105914e+00,6.669938e+01,4.285505e-01
2.500000e+01,1.321513e+00,5.648089e-01,5.890332e-02,7.825733e-01,6.043706e-02,1.127785e+01,3.576143e-02,5.207963e-05,1.885738e-05,6.665474e-06,3.713989e-07,1.463583e-04,8.764576e-05,1.321461e+00,5.647900e-01,1.178000e-01,7.825729e-01,5.562837e+00,2.739901e+00,0.000000e+00,0.000000e+00,1.434596e-07,0.000000e+00,5.889992e-02,7.825729e-01,0.000000e+00,0.000000e+00,0.000000e+00,7.020085e-02,4.210882e-01,5.058901e-01,8.987509e-01,7.199419e+01,3.327152e-01
2.500000e+01,1.161627e+00,5.694205e-01,5.830016e-02,4.561118e-01,8.311547e-02,1.182943e+01,5.422894e-02,2.247152e-04,1.003136e-05,6.544232e-06,4.200310e-07,4.712030e-04,4.275374e-04,1.161402e+00,5.694105e-01,1.165938e-01,4.561114e-01,4.991535e+00,3.208397e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.829689e-02,4.561114e-01,0.000000e+00,0.000000e+00,0.000000e+00,8.422074e-02,5.886971e-01,5.111136e-01,1.137823e+00,6.538344e+01,4.223243e-01
2.500000e+01,9.487505e-01,3.459487e-01,6.882564e-02,5.790343e-01,1.178766e-01,1.128989e+01,9.906734e-02,1.466803e-04,5.118423e-05,1.823541e-05,1.021793e-06,4.042304e-04,2.475697e-04,9.486038e-01,3.458975e-01,1.376330e-01,5.790333e-01,4.049671e+00,2.089512e+00,0.000000e+00,0.000000e+00,1.239807e-07,0.000000e+00,6.881646e-02,5.790333e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.855828e-02,2.319376e-01,2.770811e-01,4.942243e-01,5.292760e+01,1.830274e-01
2.500000e+01,1.373128e+00,5.816961e-01,6.923401e-02,3.074836e-01,7.058349e-02,1.230732e+01,2.899482e-02,3.834225e-04,1.618975e-06,6.589217e-07,1.959779e-07,7.714135e-04,7.627455e-04,1.372745e+00,5.816945e-01,1.384674e-01,3.074834e-01,5.668524e+00,4.619444e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.382497e-01,0.000000e+00,6.923368e-02,0.000000e+00,1.109309e-01,8.575601e-01,5.816945e-01,1.548152e+00,7.553276e+01,6.396173e-01
2.500000e+01,1.344138e+00,3.695469e-01,6.806617e-02,6.543923e-01,7.185335e-02,1.208260e+01,4.213627e-02,3.181538e-04,4.405961e-06,4.599927e-06,2.996767e-07,6.481658e-04,6.234015e-04,1.343820e+00,3.695425e-01,1.361277e-01,6.543920e-01,5.246448e+00,3.301135e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.863281e-01,0.000000e+00,6.806387e-02,0.000000e+00,6.566186e-02,4.852362e-01,3.695425e-01,9.018650e-01,6.771830e+01,3.505403e-01
2.500000e+01,1.192066e+00,5.579054e-01,3.404647e-02,1.365867e-01,8.383811e-02,1.247258e+01,4.741408e-02,9.624138e-04,1.467319e-06,3.473360e-07,3.117744e-07,1.929003e-03,1.921019e-03,1.191104e+00,5.579039e-01,6.809259e-02,1.365864e-01,4.707066e+00,4.049686e+00,4.465729e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.025401e-01,0.000000e+00,3.404630e-02,0.000000e+00,1.133506e-01,9.077210e-01,5.579039e-01,1.605676e+00,6.485471e+01,6.866988e-01
2.500000e+01,9.169242e-01,4.019345e-01,5.009163e-02,4.085685e-01,1.234938e-01,1.184040e+01,1.021309e-01,4.339312e-04,1.846454e-05,1.228501e-05,7.875589e-07,9.063533e-04,8.269806e-04,9.164903e-01,4.019160e-01,1.001710e-01,4.085677e-01,3.874988e+00,2.374547e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.008549e-02,4.085677e-01,0.000000e+00,0.000000e+00,0.000000e+00,5.817579e-02,4.077516e-01,3.518305e-01,7.865895e-01,5.074059e+01,2.923279e-01
2.500000e+01,9.767300e-01,5.790403e-01,5.708550e-02,2.056699e-02,1.496542e-01,1.233826e+01,1.138116e-01,1.636554e-03,5.735131e-06,1.578072e-05,1.326208e-08,3.296937e-03,3.246430e-03,9.750934e-01,5.790346e-01,1.141552e-01,2.056698e-02,4.340251e+00,3.989443e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.492165e-02,0.000000e+00,3.177967e-03,1.897799e-02,0.000000e+00,1.049416e-01,8.166263e-01,5.441129e-01,1.468455e+00,5.955782e+01,6.120283e-01
2.500000e+01,1.072056e+00,5.521044e-01,3.636646e-02,4.699224e-01,5.608209e-02,1.163946e+01,3.174497e-02,8.698811e-05,8.600229e-06,4.221986e-06,2.684603e-07,1.929135e-04,1.597100e-04,1.071969e+00,5.520958e-01,7.272870e-02,4.699221e-01,4.576326e+00,2.702456e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.636435e-02,4.699221e-01,0.000000e+00,0.000000e+00,0.000000e+00,7.977201e-02,5.293182e-01,5.157315e-01,1.060313e+00,5.931787e+01,3.900445e-01
2.500000e+01,9.769036e-01,4.679832e-01,5.670221e-02,7.822279e-01,1.307870e-01,9.791886e+00,1.191129e-01,1.271524e-04,4.697021e-04,1.508746e-07,3.116305e-06,1.198681e-03,2.473299e-04,9.767764e-01,4.675135e-01,1.134043e-01,7.822248e-01,4.296347e+00,1.299975e+00,0.000000e+00,3.645230e-02,0.000000e+00,0.000000e+00,0.000000e+00,7.822248e-01,0.000000e+00,0.000000e+00,5.670213e-02,2.558331e-02,1.378495e-01,2.042527e-01,3.097747e-01,5.547220e+01,1.058386e-01
