T, CaO, SiO2, Al2O3, CO2, H2O, pH, MassWater, Ca_aq, Si_aq, Al_aq, C_aq, O_aq, H_aq, Ca_s, Si_s, Al_s, C_s, O_s,  H_s, Portlandite, AmorfSi, Gibbsite, Katoite, Straetlingite, Calcite, Hemicarbonate, Monocarbonate, Chabazite, mCSHQ, Ca_ss, Si_ss, H2O_ss, V_s, Gel_water
2.500000e+01,1.254685e+00,3.425510e-01,5.570900e-02,6.619822e-01,1.112125e-01,1.206972e+01,8.615183e-02,6.307689e-04,9.296509e-06,1.029521e-05,6.148427e-07,1.284961e-03,1.233852e-03,1.254054e+00,3.425417e-01,1.114077e-01,6.619816e-01,4.823317e+00,2.786210e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.547986e-03,6.158257e-01,0.000000e+00,4.615587e-02,0.000000e+00,5.894833e-02,4.345091e-01,3.329937e-01,8.090066e-01,6.222750e+01,3.134965e-01
2.500000e+01,1.071785e+00,5.662455e-01,3.469580e-02,5.453301e-01,1.226650e-01,1.134367e+01,1.002753e-01,1.605498e-04,4.719786e-05,1.745709e-05,1.002562e-06,4.224247e-04,2.745769e-04,1.071624e+00,5.661983e-01,6.937414e-02,5.453291e-01,4.642270e+00,2.487060e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.468707e-02,5.453291e-01,0.000000e+00,0.000000e+00,0.000000e+00,7.496181e-02,4.569212e-01,5.315112e-01,9.660332e-01,5.998527e+01,3.580906e-01
2.500000e+01,1.220143e+00,3.627141e-01,3.591089e-02,7.023213e-01,5.560750e-02,1.206972e+01,3.532399e-02,2.586281e-04,3.811782e-06,4.221247e-06,2.520975e-07,5.280400e-04,5.059045e-04,1.219884e+00,3.627103e-01,7.181756e-02,7.023210e-01,4.584410e+00,2.253473e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.752794e-02,6.939402e-01,0.000000e+00,8.380835e-03,0.000000e+00,5.933577e-02,4.373649e-01,3.351823e-01,8.143239e-01,5.926923e+01,3.155570e-01
2.500000e+01,1.312893e+00,4.753189e-01,5.773265e-02,6.732656e-01,1.126820e-01,1.198946e+01,8.662499e-02,5.220661e-04,1.130600e-05,1.023798e-05,6.332076e-07,1.070232e-03,1.013862e-03,1.312371e+00,4.753076e-01,1.154551e-01,6.732650e-01,5.230778e+00,2.896158e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.772753e-02,6.732650e-01,0.000000e+00,0.000000e+00,0.000000e+00,7.222273e-02,5.236509e-01,4.175801e-01,9.862587e-01,6.826117e+01,3.755442e-01
2.500000e+01,9.658832e-01,3.391339e-01,5.210328e-02,7.955540e-01,1.279961e-01,1.016700e+01,1.178417e-01,1.094036e-04,2.691032e-04,1.378651e-06,2.222995e-06,7.599713e-04,2.076947e-04,9.657738e-01,3.388648e-01,1.042052e-01,7.955518e-01,3.955820e+00,1.129810e+00,0.000000e+00,0.000000e+00,3.358883e-02,0.000000e+00,0.000000e+00,7.955518e-01,0.000000e+00,0.000000e+00,3.530818e-02,2.489295e-02,1.349138e-01,1.976321e-01,3.026729e-01,5.028702e+01,1.042992e-01
2.500000e+01,9.435775e-01,3.017102e-01,6.884799e-02,5.172463e-01,9.627485e-02,1.196360e+01,7.656114e-02,4.337542e-04,1.059752e-05,9.044128e-06,5.643671e-07,8.916717e-04,8.400549e-04,9.431437e-01,3.016996e-01,1.376869e-01,5.172457e-01,3.883255e+00,2.191381e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.884347e-02,5.172457e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.997043e-02,2.882111e-01,2.328561e-01,5.449425e-01,5.107855e+01,2.064562e-01
2.500000e+01,1.044841e+00,3.222753e-01,3.531562e-02,2.845376e-01,1.225681e-01,1.247258e+01,9.666368e-02,1.962088e-03,2.991470e-06,7.081182e-07,6.356188e-07,3.930610e-03,3.916411e-03,1.042879e+00,3.222723e-01,7.063053e-02,2.845370e-01,3.806480e+00,2.888074e+00,1.280525e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.492217e-01,0.000000e+00,3.531527e-02,0.000000e+00,6.547682e-02,5.243437e-01,3.222723e-01,9.275165e-01,5.196013e+01,3.966705e-01
2.500000e+01,1.279567e+00,4.294252e-01,5.104378e-02,1.222946e-01,1.003848e-01,1.247258e+01,6.259579e-02,1.270574e-03,1.937161e-06,4.585504e-07,4.116030e-07,2.546020e-03,2.536121e-03,1.278296e+00,4.294233e-01,1.020871e-01,1.222942e-01,4.636435e+00,4.203145e+00,3.041911e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.125064e-02,0.000000e+00,5.104355e-02,0.000000e+00,8.724693e-02,6.986805e-01,4.294233e-01,1.235902e+00,6.506238e+01,5.285578e-01
2.500000e+01,9.003551e-01,4.248861e-01,3.558568e-02,7.380474e-01,7.073334e-02,9.791886e+00,6.177767e-02,6.594806e-05,2.436115e-04,7.825205e-08,1.616278e-06,6.226603e-04,1.282786e-04,9.002892e-01,4.246425e-01,7.117128e-02,7.380458e-01,3.830561e+00,9.962767e-01,0.000000e+00,9.463026e-02,0.000000e+00,0.000000e+00,0.000000e+00,7.380458e-01,0.000000e+00,0.000000e+00,3.558564e-02,2.350623e-02,1.266577e-01,1.876697e-01,2.846245e-01,4.930798e+01,9.724568e-02
2.500000e+01,1.270846e+00,3.566934e-01,4.936541e-02,3.149843e-01,8.339453e-02,1.247258e+01,5.109775e-02,1.037186e-03,1.581325e-06,3.743202e-07,3.359968e-07,2.078716e-03,2.070267e-03,1.269809e+00,3.566918e-01,9.873045e-02,3.149840e-01,4.557235e+00,3.591959e+00,2.263843e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.656187e-01,0.000000e+00,4.936522e-02,0.000000e+00,7.246991e-02,5.803449e-01,3.566918e-01,1.026578e+00,6.262329e+01,4.390359e-01
2.500000e+01,1.060542e+00,5.659085e-01,3.077868e-02,1.877474e-01,1.473032e-01,1.217901e+01,1.155030e-01,1.104274e-03,9.410363e-06,6.411230e-06,8.019805e-07,2.228025e-03,2.183419e-03,1.059438e+00,5.658991e-01,6.155095e-02,1.877466e-01,4.427722e+00,3.537333e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.569711e-01,0.000000e+00,3.077547e-02,0.000000e+00,1.034707e-01,7.793647e-01,5.658991e-01,1.430136e+00,5.864249e+01,5.697443e-01
2.500000e+01,1.255928e+00,4.193432e-01,4.296169e-02,3.888119e-01,9.774838e-02,1.247258e+01,6.658466e-02,1.351540e-03,2.060599e-06,4.877713e-07,4.378321e-07,2.708135e-03,2.697733e-03,1.254576e+00,4.193411e-01,8.592289e-02,3.888115e-01,4.733831e+00,3.468131e+00,5.460402e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.458500e-01,0.000000e+00,4.296145e-02,0.000000e+00,8.519852e-02,6.822766e-01,4.193411e-01,1.206886e+00,6.392019e+01,5.161482e-01
2.500000e+01,1.329736e+00,3.602164e-01,3.733369e-02,1.918791e-01,1.275796e-01,1.247258e+01,9.372306e-02,1.902398e-03,2.900453e-06,6.865749e-07,6.162828e-07,3.811096e-03,3.797269e-03,1.327834e+00,3.602135e-01,7.466669e-02,1.918785e-01,4.429278e+00,3.770520e+00,4.378803e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.545451e-01,0.000000e+00,3.733335e-02,0.000000e+00,7.318542e-02,5.860748e-01,3.602135e-01,1.036713e+00,6.268097e+01,4.433706e-01
2.500000e+01,1.085184e+00,4.129242e-01,3.794525e-02,4.019476e-01,9.603859e-02,1.217923e+01,6.975650e-02,6.672700e-04,5.679915e-06,3.866133e-06,4.843212e-07,1.347085e-03,1.319375e-03,1.084517e+00,4.129185e-01,7.588663e-02,4.019471e-01,4.289064e+00,2.921972e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.640038e-01,0.000000e+00,3.794332e-02,0.000000e+00,7.550430e-02,5.687397e-01,4.129185e-01,1.043610e+00,5.606315e+01,4.157825e-01
2.500000e+01,1.063079e+00,5.760417e-01,6.387972e-02,6.699577e-01,5.042189e-02,1.016700e+01,3.108724e-02,2.886129e-05,7.099085e-05,3.636884e-07,5.864387e-07,2.019569e-04,5.479106e-05,1.063050e+00,5.759707e-01,1.277591e-01,6.699571e-01,4.820110e+00,2.147131e+00,0.000000e+00,0.000000e+00,1.276502e-01,0.000000e+00,0.000000e+00,6.699571e-01,0.000000e+00,0.000000e+00,5.441834e-05,7.251954e-02,3.930386e-01,5.757530e-01,8.817637e-01,6.077434e+01,3.038504e-01
2.500000e+01,1.164021e+00,5.401440e-01,4.110456e-02,5.877302e-01,5.472173e-02,1.158272e+01,3.077524e-02,7.517868e-05,9.305425e-06,4.272369e-06,2.681998e-07,1.708799e-04,1.362907e-04,1.163946e+00,5.401347e-01,8.220485e-02,5.877299e-01,4.872492e+00,2.659020e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.110242e-02,5.877299e-01,0.000000e+00,0.000000e+00,0.000000e+00,7.571460e-02,4.940110e-01,4.990323e-01,1.000691e+00,6.300446e+01,3.685984e-01
2.500000e+01,1.170850e+00,3.588785e-01,5.341121e-02,3.342213e-01,1.162694e-01,1.247258e+01,8.554025e-02,1.736303e-03,2.647219e-06,6.266315e-07,5.624761e-07,3.478530e-03,3.465735e-03,1.169114e+00,3.588759e-01,1.068218e-01,3.342207e-01,4.426685e+00,3.422290e+00,9.076189e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.808098e-01,0.000000e+00,5.341090e-02,0.000000e+00,7.291365e-02,5.838984e-01,3.588759e-01,1.032863e+00,5.995885e+01,4.417242e-01
2.500000e+01,1.373128e+00,5.160346e-01,5.306538e-02,3.474310e-01,1.002979e-01,1.247258e+01,6.263599e-02,1.271389e-03,1.938407e-06,4.588470e-07,4.118673e-07,2.547650e-03,2.537746e-03,1.371857e+00,5.160327e-01,1.061303e-01,3.474306e-01,5.352499e+00,4.189040e+00,2.563509e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.943654e-01,0.000000e+00,5.306515e-02,0.000000e+00,1.048435e-01,8.395955e-01,5.160327e-01,1.485168e+00,7.248983e+01,6.351613e-01
2.500000e+01,1.109938e+00,5.192954e-01,4.514574e-02,5.095763e-01,5.121570e-02,1.171413e+01,2.657609e-02,8.526586e-05,6.215270e-06,3.371603e-06,2.165855e-07,1.846735e-04,1.589729e-04,1.109853e+00,5.192892e-01,9.028811e-02,5.095761e-01,4.671018e+00,2.736005e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.514405e-02,5.095761e-01,0.000000e+00,0.000000e+00,0.000000e+00,7.522622e-02,5.099885e-01,4.741451e-01,1.006850e+00,6.069359e+01,3.706230e-01
2.500000e+01,1.004695e+00,3.301583e-01,5.552869e-02,5.949185e-01,1.126484e-01,1.173081e+01,9.408577e-02,3.129787e-04,2.128249e-05,1.182928e-05,7.607754e-07,6.695107e-04,5.854031e-04,1.004382e+00,3.301370e-01,1.110456e-01,5.949177e-01,4.052525e+00,2.062930e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.552278e-02,5.949177e-01,0.000000e+00,0.000000e+00,0.000000e+00,4.381463e-02,2.984187e-01,2.746142e-01,5.872828e-01,5.267407e+01,2.163151e-01
