T, CaO, SiO2, Al2O3, H2O, pH, MassWater, Ca_aq, Si_aq, Al_aq, O_aq, H_aq, Ca_s, Si_s, Al_s, O_s,  H_s, Portlandite, AmorfSi, Gibbsite, Katoite, Straetlingite, Chabazite, mCSHQ, Ca_ss, Si_ss, H2O_ss, V_s, Gel_water
2.500000e+01,1.229225e+00,3.974977e-01,4.447338e-02,9.132835e-02,1.247216e+01,5.790924e-02,1.177873e-03,1.792081e-06,7.444860e-06,2.367042e-03,2.344835e-03,1.228047e+00,3.974959e-01,8.893932e-02,4.015184e+00,3.717472e+00,4.479042e-01,0.000000e+00,0.000000e+00,4.446966e-02,0.000000e+00,0.000000e+00,8.076017e-02,6.467339e-01,3.974959e-01,1.144014e+00,5.756804e+01,4.892598e-01
2.500000e+01,1.286790e+00,5.300036e-01,3.961156e-02,5.445458e-02,1.247216e+01,1.721296e-02,3.501109e-04,5.326790e-07,2.212913e-06,7.049850e-04,6.969787e-04,1.286440e+00,5.300031e-01,7.922091e-02,4.533599e+00,4.136643e+00,3.052828e-01,0.000000e+00,0.000000e+00,3.961045e-02,0.000000e+00,0.000000e+00,1.076820e-01,8.623257e-01,5.300031e-01,1.525376e+00,6.416070e+01,6.523569e-01
2.500000e+01,1.254067e+00,3.711579e-01,5.254694e-02,6.751637e-02,1.247216e+01,3.377034e-02,6.868881e-04,1.045073e-06,4.341537e-06,1.381197e-03,1.367414e-03,1.253380e+00,3.711569e-01,1.050895e-01,4.028671e+00,3.750686e+00,4.918661e-01,0.000000e+00,0.000000e+00,5.254477e-02,0.000000e+00,0.000000e+00,7.540880e-02,6.038797e-01,3.711569e-01,1.068209e+00,5.783800e+01,4.568403e-01
2.500000e+01,1.203625e+00,3.243155e-01,5.752753e-02,5.649243e-02,1.247216e+01,2.442747e-02,4.968541e-04,7.559445e-07,3.140415e-06,9.996295e-04,9.891058e-04,1.203128e+00,3.243147e-01,1.150519e-01,3.805769e+00,3.562868e+00,5.028836e-01,0.000000e+00,0.000000e+00,5.752596e-02,0.000000e+00,0.000000e+00,6.589178e-02,5.276667e-01,3.243147e-01,9.333945e-01,5.469343e+01,3.991844e-01
2.500000e+01,9.578791e-01,4.236473e-01,5.411578e-02,8.305488e-02,1.247216e+01,5.340682e-02,1.086294e-03,1.652748e-06,6.866027e-06,2.183162e-03,2.162526e-03,9.567928e-01,4.236456e-01,1.082247e-01,3.615545e+00,3.298247e+00,1.051757e-01,0.000000e+00,0.000000e+00,5.411235e-02,0.000000e+00,0.000000e+00,8.607307e-02,6.892801e-01,4.236456e-01,1.219274e+00,5.005605e+01,5.214463e-01
2.500000e+01,1.380020e+00,5.228356e-01,5.431929e-02,1.466612e-01,1.247216e+01,1.072434e-01,2.181333e-03,3.318806e-06,1.378729e-05,4.381882e-03,4.342461e-03,1.377839e+00,5.228323e-01,1.086248e-01,4.781296e+00,4.389711e+00,3.642427e-01,0.000000e+00,0.000000e+00,5.431240e-02,0.000000e+00,0.000000e+00,1.062251e-01,8.506588e-01,5.228323e-01,1.504738e+00,6.765953e+01,6.435307e-01
2.500000e+01,1.172348e+00,3.664365e-01,5.745948e-02,9.247724e-02,1.247216e+01,6.008429e-02,1.222115e-03,1.859390e-06,7.724487e-06,2.455874e-03,2.432909e-03,1.171126e+00,3.664346e-01,1.149112e-01,3.878276e+00,3.603828e+00,4.025624e-01,0.000000e+00,0.000000e+00,5.745562e-02,0.000000e+00,0.000000e+00,7.444938e-02,5.961966e-01,3.664346e-01,1.054618e+00,5.519188e+01,4.510279e-01
2.500000e+01,1.258737e+00,3.649716e-01,5.796248e-02,8.754078e-02,1.247216e+01,5.358746e-02,1.089968e-03,1.658339e-06,6.889243e-06,2.190539e-03,2.169840e-03,1.257647e+00,3.649699e-01,1.159181e-01,4.049577e+00,3.776226e+00,4.899564e-01,0.000000e+00,0.000000e+00,5.795904e-02,0.000000e+00,0.000000e+00,7.415179e-02,5.938135e-01,3.649699e-01,1.050402e+00,5.802346e+01,4.492251e-01
2.500000e+01,1.241965e+00,4.370930e-01,6.261649e-02,5.103432e-02,1.247216e+01,1.544822e-02,3.142162e-04,4.780653e-07,1.986035e-06,6.329123e-04,6.255218e-04,1.241651e+00,4.370925e-01,1.252310e-01,4.279996e+00,3.952627e+00,3.426459e-01,0.000000e+00,0.000000e+00,6.261550e-02,0.000000e+00,0.000000e+00,8.880510e-02,7.111584e-01,4.370925e-01,1.257975e+00,6.040109e+01,5.379975e-01
2.500000e+01,1.337608e+00,4.362475e-01,3.178828e-02,1.257251e-01,1.247216e+01,9.021481e-02,1.834970e-03,2.791981e-06,1.159811e-05,3.686423e-03,3.652943e-03,1.335773e+00,4.362447e-01,6.356496e-02,4.280486e+00,3.953752e+00,5.306466e-01,0.000000e+00,0.000000e+00,3.178248e-02,0.000000e+00,0.000000e+00,8.863285e-02,7.097790e-01,4.362447e-01,1.255535e+00,6.192363e+01,5.369540e-01
2.500000e+01,1.116791e+00,4.822014e-01,6.396396e-02,1.238872e-01,1.247216e+01,8.957937e-02,1.822046e-03,2.772195e-06,1.151639e-05,3.660473e-03,3.627215e-03,1.114969e+00,4.821986e-01,1.279164e-01,4.181330e+00,3.820178e+00,1.385473e-01,0.000000e+00,0.000000e+00,6.395820e-02,0.000000e+00,0.000000e+00,9.796942e-02,7.845470e-01,4.821986e-01,1.387793e+00,5.795143e+01,5.935166e-01
2.500000e+01,1.272829e+00,4.947448e-01,6.336501e-02,1.358119e-01,1.247216e+01,9.845607e-02,2.002595e-03,3.046858e-06,1.265760e-05,4.022995e-03,3.986640e-03,1.270826e+00,4.947418e-01,1.267174e-01,4.530226e+00,4.159680e+00,2.757955e-01,0.000000e+00,0.000000e+00,6.335868e-02,0.000000e+00,0.000000e+00,1.005178e-01,8.049549e-01,4.947418e-01,1.423892e+00,6.353834e+01,6.089553e-01
2.500000e+01,9.352049e-01,4.550323e-01,3.004242e-02,6.211719e-02,1.247216e+01,3.344099e-02,6.801890e-04,1.034873e-06,4.299181e-06,1.367746e-03,1.354077e-03,9.345247e-01,4.550313e-01,6.008054e-02,3.528612e+00,3.187808e+00,1.040588e-01,0.000000e+00,0.000000e+00,3.004027e-02,0.000000e+00,0.000000e+00,9.244976e-02,7.403451e-01,4.550313e-01,1.309603e+00,4.926614e+01,5.600775e-01
2.500000e+01,1.191437e+00,3.325115e-01,6.214005e-02,1.426810e-01,1.247216e+01,1.105324e-01,2.248229e-03,3.420557e-06,1.421004e-05,4.516201e-03,4.475632e-03,1.189189e+00,3.325081e-01,1.242659e-01,3.832169e+00,3.583131e+00,4.617925e-01,0.000000e+00,0.000000e+00,6.213294e-02,0.000000e+00,0.000000e+00,6.755644e-02,5.409974e-01,3.325081e-01,9.569754e-01,5.476881e+01,4.092692e-01
2.500000e+01,1.299597e+00,4.630108e-01,5.675601e-02,1.406416e-01,1.247216e+01,1.038842e-01,2.113005e-03,3.214860e-06,1.335543e-05,4.244686e-03,4.206437e-03,1.297484e+00,4.630076e-01,1.134987e-01,4.440716e+00,4.093938e+00,3.739132e-01,0.000000e+00,0.000000e+00,5.674933e-02,0.000000e+00,0.000000e+00,9.407033e-02,7.533228e-01,4.630076e-01,1.332560e+00,6.291038e+01,5.698952e-01
2.500000e+01,1.048436e+00,5.022858e-01,5.780710e-02,1.432009e-01,1.247216e+01,1.100356e-01,2.238122e-03,3.405208e-06,1.414630e-05,4.495908e-03,4.455512e-03,1.046198e+00,5.022824e-01,1.156001e-01,4.072132e+00,3.695938e+00,5.557429e-02,0.000000e+00,0.000000e+00,5.780003e-02,0.000000e+00,0.000000e+00,1.020499e-01,8.172235e-01,5.022824e-01,1.445594e+00,5.611057e+01,6.182367e-01
2.500000e+01,1.126159e+00,4.077735e-01,5.006700e-02,1.171904e-01,1.247216e+01,8.513555e-02,1.731657e-03,2.634640e-06,1.094510e-05,3.478981e-03,3.447274e-03,1.124427e+00,4.077709e-01,1.001231e-01,3.874900e+00,3.569492e+00,3.107913e-01,0.000000e+00,0.000000e+00,5.006153e-02,0.000000e+00,0.000000e+00,8.284776e-02,6.634515e-01,4.077709e-01,1.173586e+00,5.480544e+01,5.019068e-01
2.500000e+01,1.350834e+00,4.083922e-01,5.653925e-02,5.333247e-02,1.247216e+01,1.676236e-02,3.409449e-04,5.187348e-07,2.154967e-06,6.865807e-04,6.787317e-04,1.350493e+00,4.083917e-01,1.130763e-01,4.367909e+00,4.062037e+00,5.164170e-01,0.000000e+00,0.000000e+00,5.653817e-02,0.000000e+00,0.000000e+00,8.297389e-02,6.644616e-01,4.083917e-01,1.175372e+00,6.262938e+01,5.026709e-01
2.500000e+01,1.080635e+00,5.794658e-01,5.422696e-02,5.972315e-02,1.244426e+01,2.431213e-02,4.601628e-04,8.388316e-07,3.774528e-06,9.269694e-04,9.149343e-04,1.080175e+00,5.794650e-01,1.084501e-01,4.368836e+00,3.934112e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.070766e-02,3.517413e-03,0.000000e+00,1.157027e-01,9.210170e-01,5.759475e-01,1.634671e+00,5.988659e+01,6.971510e-01
2.500000e+01,1.197032e+00,3.935725e-01,5.387489e-02,8.726695e-02,1.247216e+01,5.400222e-02,1.098405e-03,1.671173e-06,6.942569e-06,2.207479e-03,2.186636e-03,1.195934e+00,3.935708e-01,1.077428e-01,3.994607e+00,3.699834e+00,3.939716e-01,0.000000e+00,0.000000e+00,5.387142e-02,0.000000e+00,0.000000e+00,7.996270e-02,6.403477e-01,3.935708e-01,1.132717e+00,5.683599e+01,4.844286e-01
2.500000e+01,1.096511e+00,4.914232e-01,4.885415e-02,6.815667e-02,1.247216e+01,3.473960e-02,7.066028e-04,1.075065e-06,4.466124e-06,1.420782e-03,1.406660e-03,1.095804e+00,4.914221e-01,9.770383e-02,4.082349e+00,3.714289e+00,1.496948e-01,0.000000e+00,0.000000e+00,4.885192e-02,0.000000e+00,0.000000e+00,9.984338e-02,7.995538e-01,4.914221e-01,1.414338e+00,5.689626e+01,6.048694e-01
2.500000e+01,1.070096e+00,4.941544e-01,5.842717e-02,5.733299e-02,1.247216e+01,2.379623e-02,4.840144e-04,7.364074e-07,3.059242e-06,9.738487e-04,9.635453e-04,1.069612e+00,4.941537e-01,1.168513e-01,4.096287e+00,3.726181e+00,9.033698e-02,0.000000e+00,0.000000e+00,5.842564e-02,0.000000e+00,0.000000e+00,1.003984e-01,8.039981e-01,4.941537e-01,1.422200e+00,5.661519e+01,6.082315e-01
2.500000e+01,1.282573e+00,3.750947e-01,6.316622e-02,9.336893e-02,1.247216e+01,5.848426e-02,1.189569e-03,1.809877e-06,7.518772e-06,2.390527e-03,2.368119e-03,1.281383e+00,3.750929e-01,1.263249e-01,4.161180e+00,3.880247e+00,4.816123e-01,0.000000e+00,0.000000e+00,6.316246e-02,0.000000e+00,0.000000e+00,7.620850e-02,6.102838e-01,3.750929e-01,1.079537e+00,5.944600e+01,4.616850e-01
2.500000e+01,1.175047e+00,3.919205e-01,6.100770e-02,6.595261e-02,1.247216e+01,3.270331e-02,6.651849e-04,1.012045e-06,4.204370e-06,1.337620e-03,1.324208e-03,1.174382e+00,3.919195e-01,1.220112e-01,3.988940e+00,3.695404e+00,3.537040e-01,0.000000e+00,0.000000e+00,6.100560e-02,0.000000e+00,0.000000e+00,7.962720e-02,6.376610e-01,3.919195e-01,1.127964e+00,5.642276e+01,4.823961e-01
2.500000e+01,1.170512e+00,5.891791e-01,5.989130e-02,6.082148e-02,1.247216e+01,2.325410e-02,4.729876e-04,7.196309e-07,2.989571e-06,9.517081e-04,9.415939e-04,1.170039e+00,5.891784e-01,1.197796e-01,4.614854e+00,4.173578e+00,3.176452e-02,0.000000e+00,0.000000e+00,5.988981e-02,0.000000e+00,0.000000e+00,1.197047e-01,9.586051e-01,5.891784e-01,1.695686e+00,6.352872e+01,7.251931e-01
2.500000e+01,1.353504e+00,5.113057e-01,3.921878e-02,1.256425e-01,1.247216e+01,8.774887e-02,1.784812e-03,2.715515e-06,1.128104e-05,3.585711e-03,3.553092e-03,1.351719e+00,5.113030e-01,7.842628e-02,4.600979e+00,4.218029e+00,4.021794e-01,0.000000e+00,0.000000e+00,3.921314e-02,0.000000e+00,0.000000e+00,1.038826e-01,8.319004e-01,5.113030e-01,1.471556e+00,6.560616e+01,6.293398e-01
2.500000e+01,1.006112e+00,3.512549e-01,3.177066e-02,1.057004e-01,1.247216e+01,7.806011e-02,1.587742e-03,2.415667e-06,1.003547e-05,3.190015e-03,3.160776e-03,1.004524e+00,3.512525e-01,6.353128e-02,3.341575e+00,3.078498e+00,3.377324e-01,0.000000e+00,0.000000e+00,3.176564e-02,0.000000e+00,0.000000e+00,7.136479e-02,5.714949e-01,3.512525e-01,1.010923e+00,4.782382e+01,4.323409e-01
