T, CaO, SiO2, Al2O3, H2O, pH, MassWater, Ca_aq, Si_aq, Al_aq, O_aq, H_aq, Ca_s, Si_s, Al_s, O_s,  H_s, Portlandite, AmorfSi, Gibbsite, Katoite, Straetlingite, Chabazite, mCSHQ, Ca_ss, Si_ss, H2O_ss, V_s, Gel_water
2.500000e+01,1.088896e+00,5.463858e-01,6.115392e-02,6.795019e-02,1.247216e+01,3.276382e-02,6.664149e-04,1.013922e-06,4.212149e-06,1.340089e-03,1.326657e-03,1.088230e+00,5.463848e-01,1.223036e-01,4.319684e+00,3.910459e+00,1.579517e-02,0.000000e+00,0.000000e+00,6.115181e-02,0.000000e+00,0.000000e+00,1.110103e-01,8.889790e-01,5.463848e-01,1.572523e+00,5.930291e+01,6.725203e-01
2.500000e+01,9.329007e-01,5.313434e-01,4.816288e-02,5.548504e-02,1.244426e+01,2.349463e-02,4.446898e-04,8.106291e-07,3.648833e-06,8.958685e-04,8.841684e-04,9.324560e-01,5.313426e-01,9.632211e-02,3.916759e+00,3.554269e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.441664e-02,2.374441e-02,0.000000e+00,1.019719e-01,8.117173e-01,5.075982e-01,1.440679e+00,5.420617e+01,6.144181e-01
2.500000e+01,1.145278e+00,3.579771e-01,6.762853e-02,1.107428e-01,1.247216e+01,7.850660e-02,1.596824e-03,2.429498e-06,1.009286e-05,3.208250e-03,3.178856e-03,1.143681e+00,3.579747e-01,1.352470e-01,3.856890e+00,3.588778e+00,3.583787e-01,0.000000e+00,0.000000e+00,6.762348e-02,0.000000e+00,0.000000e+00,7.273055e-02,5.824321e-01,3.579747e-01,1.030270e+00,5.448493e+01,4.406149e-01
2.500000e+01,1.056040e+00,5.000638e-01,3.630402e-02,1.300171e-01,1.247216e+01,9.790871e-02,1.991465e-03,3.029965e-06,1.258721e-05,4.000647e-03,3.964483e-03,1.054049e+00,5.000608e-01,7.259545e-02,3.951597e+00,3.577067e+00,1.315463e-01,0.000000e+00,0.000000e+00,3.629773e-02,0.000000e+00,0.000000e+00,1.015985e-01,8.136090e-01,5.000608e-01,1.439201e+00,5.520150e+01,6.155023e-01
2.500000e+01,1.311229e+00,3.818455e-01,3.854486e-02,9.060406e-02,1.247216e+01,5.637847e-02,1.146737e-03,1.744706e-06,7.248064e-06,2.304525e-03,2.282852e-03,1.310082e+00,3.818438e-01,7.708247e-02,4.092798e+00,3.806809e+00,5.731910e-01,0.000000e+00,0.000000e+00,3.854124e-02,0.000000e+00,0.000000e+00,7.758009e-02,6.212676e-01,3.818438e-01,1.098966e+00,5.940090e+01,4.699943e-01
2.500000e+01,1.051721e+00,5.879678e-01,4.233572e-02,6.392774e-02,1.244426e+01,2.941313e-02,5.567115e-04,1.014835e-06,4.566480e-06,1.121041e-03,1.106901e-03,1.051164e+00,5.879668e-01,8.466687e-02,4.271699e+00,3.835202e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.614929e-02,6.184150e-03,0.000000e+00,1.168749e-01,9.303481e-01,5.817826e-01,1.651232e+00,5.880560e+01,7.042141e-01
2.500000e+01,1.346299e+00,5.027392e-01,3.445190e-02,6.178281e-02,1.247216e+01,2.437333e-02,4.957526e-04,7.542709e-07,3.133432e-06,9.974178e-04,9.869130e-04,1.345803e+00,5.027384e-01,6.890067e-02,4.532727e+00,4.156191e+00,4.244866e-01,0.000000e+00,0.000000e+00,3.445033e-02,0.000000e+00,0.000000e+00,1.021425e-01,8.179657e-01,5.027384e-01,1.446907e+00,6.485275e+01,6.187981e-01
2.500000e+01,1.177247e+00,3.005254e-01,4.143787e-02,1.418251e-01,1.247216e+01,1.117738e-01,2.273476e-03,3.458876e-06,1.436978e-05,4.566895e-03,4.525893e-03,1.174974e+00,3.005219e-01,8.286137e-02,3.575537e+00,3.350456e+00,5.617261e-01,0.000000e+00,0.000000e+00,4.143069e-02,0.000000e+00,0.000000e+00,6.105774e-02,4.889553e-01,3.005219e-01,8.649176e-01,5.206826e+01,3.698989e-01
2.500000e+01,9.275853e-01,3.993843e-01,6.742969e-02,1.256437e-01,1.247216e+01,9.643409e-02,1.961456e-03,2.983724e-06,1.239764e-05,3.940393e-03,3.904745e-03,9.256238e-01,3.993813e-01,1.348470e-01,3.554190e+00,3.255066e+00,7.355183e-02,0.000000e+00,0.000000e+00,6.742349e-02,0.000000e+00,0.000000e+00,8.114323e-02,6.498015e-01,3.993813e-01,1.149440e+00,4.879943e+01,4.915805e-01
2.500000e+01,1.043799e+00,5.018572e-01,4.135905e-02,1.496689e-01,1.247216e+01,1.174971e-01,2.389889e-03,3.636102e-06,1.510554e-05,4.800640e-03,4.757641e-03,1.041409e+00,5.018536e-01,8.270299e-02,3.962469e+00,3.586596e+00,1.008287e-01,0.000000e+00,0.000000e+00,4.135150e-02,0.000000e+00,0.000000e+00,1.019628e-01,8.165259e-01,5.018536e-01,1.444360e+00,5.510536e+01,6.177089e-01
