T, CaO, SiO2, Al2O3, H2O, pH, MassWater, Ca_aq, Si_aq, Al_aq, O_aq, H_aq, Ca_s, Si_s, Al_s, O_s,  H_s, Portlandite, AmorfSi, Gibbsite, Katoite, Straetlingite, Chabazite, mCSHQ, Ca_ss, Si_ss, H2O_ss, V_s, Gel_water
2.500000e+01,9.099824e-01,3.692237e-01,5.987554e-02,7.181046e-02,1.247216e+01,4.392616e-02,8.934576e-04,1.359355e-06,5.647181e-06,1.795967e-03,1.778639e-03,9.090889e-01,3.692223e-01,1.197454e-01,3.377768e+00,3.101231e+00,1.287385e-01,0.000000e+00,0.000000e+00,5.987272e-02,0.000000e+00,0.000000e+00,7.501577e-02,6.007323e-01,3.692223e-01,1.062641e+00,4.675431e+01,4.544592e-01
2.500000e+01,1.102914e+00,4.227364e-01,4.020578e-02,9.181914e-02,1.247216e+01,6.034108e-02,1.227337e-03,1.867340e-06,7.757497e-06,2.466361e-03,2.443306e-03,1.101687e+00,4.227345e-01,8.040380e-02,3.818908e+00,3.502293e+00,2.932833e-01,0.000000e+00,0.000000e+00,4.020190e-02,0.000000e+00,0.000000e+00,8.588796e-02,6.877977e-01,4.227345e-01,1.216652e+00,5.410972e+01,5.203249e-01
2.500000e+01,9.799205e-01,3.657152e-01,4.086993e-02,9.412326e-02,1.247216e+01,6.611898e-02,1.344858e-03,2.046135e-06,8.500317e-06,2.702331e-03,2.677259e-03,9.785756e-01,3.657132e-01,8.173136e-02,3.391290e+00,3.117382e+00,2.609559e-01,0.000000e+00,0.000000e+00,4.086568e-02,0.000000e+00,0.000000e+00,7.430279e-02,5.950227e-01,3.657132e-01,1.052541e+00,4.796129e+01,4.501399e-01
2.500000e+01,1.095207e+00,4.264462e-01,3.076103e-02,1.064211e-01,1.247216e+01,7.553182e-02,1.536317e-03,2.337429e-06,9.710428e-06,3.086758e-03,3.058402e-03,1.093671e+00,4.264439e-01,6.151235e-02,3.758261e+00,3.438868e+00,3.075693e-01,0.000000e+00,0.000000e+00,3.075617e-02,0.000000e+00,0.000000e+00,8.664159e-02,6.938328e-01,4.264439e-01,1.227327e+00,5.350487e+01,5.248906e-01
2.500000e+01,1.064990e+00,5.415053e-01,3.637159e-02,1.365713e-01,1.247216e+01,1.033722e-01,2.102591e-03,3.199012e-06,1.328961e-05,4.223777e-03,4.185706e-03,1.062887e+00,5.415021e-01,7.272989e-02,4.104405e+00,3.698836e+00,7.275766e-02,0.000000e+00,0.000000e+00,3.636495e-02,0.000000e+00,0.000000e+00,1.100182e-01,8.810349e-01,5.415021e-01,1.558471e+00,5.703197e+01,6.665105e-01
2.500000e+01,1.150829e+00,4.246400e-01,5.894943e-02,1.152250e-01,1.247216e+01,8.186054e-02,1.665044e-03,2.533289e-06,1.052406e-05,3.345229e-03,3.314665e-03,1.149164e+00,4.246375e-01,1.178883e-01,4.032503e+00,3.714462e+00,2.814376e-01,0.000000e+00,0.000000e+00,5.894417e-02,0.000000e+00,0.000000e+00,8.627459e-02,6.908938e-01,4.246375e-01,1.222129e+00,5.669669e+01,5.226672e-01
2.500000e+01,1.349066e+00,5.796999e-01,5.313258e-02,1.343854e-01,1.247216e+01,9.428823e-02,1.917821e-03,2.917871e-06,1.212178e-05,3.852779e-03,3.817878e-03,1.347148e+00,5.796970e-01,1.062530e-01,4.897668e+00,4.463493e+00,2.445899e-01,0.000000e+00,0.000000e+00,5.312652e-02,0.000000e+00,0.000000e+00,1.177784e-01,9.431788e-01,5.796970e-01,1.668398e+00,6.869109e+01,7.135229e-01
2.500000e+01,1.298837e+00,5.964956e-01,6.904303e-02,1.490300e-01,1.247216e+01,1.086210e-01,2.209348e-03,3.361421e-06,1.396441e-05,4.438132e-03,4.398230e-03,1.296628e+00,5.964922e-01,1.380721e-01,4.946686e+00,4.499932e+00,1.190145e-01,0.000000e+00,0.000000e+00,6.903605e-02,0.000000e+00,0.000000e+00,1.211907e-01,9.705050e-01,5.964922e-01,1.716735e+00,6.844671e+01,7.341954e-01
2.500000e+01,1.227766e+00,4.419536e-01,5.327681e-02,9.009095e-02,1.247216e+01,5.521631e-02,1.123100e-03,1.708747e-06,7.098654e-06,2.257064e-03,2.235797e-03,1.226643e+00,4.419519e-01,1.065465e-01,4.209725e+00,3.878717e+00,3.477584e-01,0.000000e+00,0.000000e+00,5.327326e-02,0.000000e+00,0.000000e+00,8.979240e-02,7.190647e-01,4.419519e-01,1.271960e+00,5.961292e+01,5.439787e-01
2.500000e+01,1.159556e+00,3.685765e-01,6.250714e-02,1.378689e-01,1.247216e+01,1.054543e-01,2.144939e-03,3.263453e-06,1.355767e-05,4.308808e-03,4.270010e-03,1.157411e+00,3.685732e-01,1.250007e-01,3.888067e+00,3.612017e+00,3.702338e-01,0.000000e+00,0.000000e+00,6.250036e-02,0.000000e+00,0.000000e+00,7.488388e-02,5.996762e-01,3.685732e-01,1.060773e+00,5.507255e+01,4.536602e-01
